name,allegiance,season,episode,location,killer,killers_house,method,death_no
Stark soldier,House Stark,1,7,King's Landing,City watch guard,House Lannister,Sword,36
Stark soldier,House Stark,1,7,King's Landing,City watch guard,House Lannister,Sword,37
Stark soldier,House Stark,1,7,King's Landing,"Sandor ""the Hound"" Clegane",House Lannister,Sword,38
Stark soldier,House Stark,1,8,King's Landing,Lannister soldier,House Lannister,Sword,39
Stark soldier,House Stark,1,8,King's Landing,Lannister soldier,House Lannister,Sword,40
Vayon Poole,House Stark,1,8,King's Landing,Lannister soldier,House Lannister,Sword,41
Stark staff member,House Stark,1,8,King's Landing,Lannister soldier,House Lannister,Sword,42
Stark staff member,House Stark,1,8,King's Landing,Lannister soldier,House Lannister,Sword,43
Septa Mordane,House Stark,1,8,King's Landing,Lannister soldier,House Lannister,Sword,44
Syrio Forel,House Stark,1,8,King's Landing,Meryn Trant,House Trant,Sword,45
Stableboy,Smallfolk,1,8,King's Landing,Arya Stark,House Stark,Sword,46
Othor,None,1,8,Castle Black,Jon Snow,House Stark,Fire,47
Jafer Flowers,None,1,8,Castle Black,Night's Watch brother,Night's Watch,Fire,48
Mago,Dothraki,1,8,Lhazar,Khal Drogo,Dothraki,Hands,49
Drogo's horse,Dothraki,1,9,Red Waste,Mirri Maz Duur,None,Knife,50
Qotho,Dothraki,1,9,Red Waste,Jorah Mormont,House Targaryen,Sword,51
Stark soldier,House Stark,1,9,Unknown,Hill tribesman,None,Hammer,52
Stark soldier,House Stark,1,9,Unknown,Hill tribesman,None,Sword,53
Pigeon,None,1,9,King's Landing,Arya Stark,House Stark,Hands,54
Ned Stark,House Stark,1,9,King's Landing,Ilyn Payne,House Payne,Sword,55
Rhaego,Dothraki,1,10,Red Waste,Mirri Maz Duur,None,Magic,56
Khal Drogo,Dothraki,1,10,Red Waste,Daenerys Targaryen,House Targaryen,Pillow,57
Mirri Maz Duur,None,1,10,Red Waste,Daenerys Targaryen,House Targaryen,Fire,58
Knight,None,2,1,King's Landing,"Sandor ""the Hound"" Clegane",House Lannister,Mace,59
The Silver,House Targaryen,2,1,Red Waste,None,None,Starvation,60
Maester Cressen,House Baratheon of Dragonstone,2,1,Dragonstone,"Melisandre ""the Red Woman"" of Asshai",Lord of Light,Poison,61
Barra (Baratheon illegitimate son),Smallfolk,2,1,King's Landing,Janos Slynt,Night's Watch,Knife,62
Robert Baratheon's illegitimate son,Smallfolk,2,1,King's Landing,City watch guard,House Lannister,Knife,63
Robert Baratheon's illegitimate son,Smallfolk,2,1,King's Landing,City watch guard,House Lannister,Water,64
Robert Baratheon's illegitimate son,Smallfolk,2,1,King's Landing,City watch guard,House Lannister,Unknown,65
Rakharo,House Targaryen,2,2,Red Waste,Rival Dothraki,Dothraki,Unknown,66
Lannister soldier,House Lannister,2,3,Riverlands,Yoren,Night's Watch,Sword,67
Lannister soldier,House Lannister,2,3,Riverlands,Yoren,Night's Watch,Sword,68
Lannister soldier,House Lannister,2,3,Riverlands,Yoren,Night's Watch,Sword,69
Lannister soldier,House Lannister,2,3,Riverlands,Yoren,Night's Watch,Sword,70
Lannister soldier,House Lannister,2,3,Riverlands,Yoren,Night's Watch,Sword,71
Yoren,Night's Watch,2,3,Riverlands,Amory Lorch,House Lannister,Sword,72
Night's Watch recruit,Night's Watch,2,3,Riverlands,Lannister soldier,House Lannister,Spear,73
Lommy Greenhands,Smallfolk,2,3,Riverlands,Polliver,House Baratheon of King's Landing,Sword,74
Rennick,House Lannister,2,4,Oxcross,Grey Wind,House Stark,Teeth,75
Lannister soldier,House Lannister,2,4,Oxcross,Grey Wind,House Stark,Teeth,76
Prisoner,None,2,4,Harrenhal,The Tickler,House Clegane,Rat,77
Renly Baratheon,House Baratheon of Storm's End,2,5,Storm's End,"Melisandre ""the Red Woman"" of Asshai",Lord of Light,Shadow Demon,78
Baratheon of Storm's End guard,House Baratheon of Storm's End,2,5,Storm's End,Brienne of Tarth,House Tarth,Sword,79
Baratheon of Storm's End guard,House Baratheon of Storm's End,2,5,Storm's End,Brienne of Tarth,House Tarth,Sword,80
The Tickler,House Clegane,2,5,Harrenhal,Jaqen H'ghar,Faceless Men,Unknown,81
Rodrik Cassel,House Stark,2,6,Winterfell,Theon Greyjoy,House Bolton,Sword,82
Wildling,Free Folk,2,6,Beyond the Wall,Night's Watch brother,Night's Watch,Arrow,83
Wildling,Free Folk,2,6,Beyond the Wall,Qhorin Halfhand,Night's Watch,Sword,84
High Septon,Faith of the Seven,2,6,King's Landing,Peasants,None,Hands,85
Peasant,Smallfolk,2,6,King's Landing,"Sandor ""the Hound"" Clegane",House Lannister,Sword,86
Peasant,Smallfolk,2,6,King's Landing,"Sandor ""the Hound"" Clegane",House Lannister,Sword,87
Peasant,Smallfolk,2,6,King's Landing,"Sandor ""the Hound"" Clegane",House Lannister,Knife,88
Peasant,Smallfolk,2,6,King's Landing,"Sandor ""the Hound"" Clegane",House Lannister,Knife,89
Peasant,Smallfolk,2,6,King's Landing,"Sandor ""the Hound"" Clegane",House Lannister,Knife,90
Amory Lorch,House Lannister,2,6,Harrenhal,Jaqen H'ghar,Faceless Men,Poison dart,91
Drennan,House Greyjoy,2,6,Winterfell,Osha,House Stark,Knife,92
Irri,House Targaryen,2,6,Qarth,Unknown,Unknown,Unknown,93
Alton Lannister,House Lannister,2,7,Robb Stark's camp,Jaime Lannister,House Lannister,Hands,94
Torrhen Karstark,House Stark,2,7,Robb Stark's camp,Jaime Lannister,House Lannister,Hands,95
The Spice King,The Thirteen,2,7,Qarth,Pyat Pree,Warlocks of Qarth,Knife,96
The Silk King,The Thirteen,2,7,Qarth,Pyat Pree,Warlocks of Qarth,Knife,97
The Copper King,The Thirteen,2,7,Qarth,Pyat Pree,Warlocks of Qarth,Knife,98
Member of the Thirteen,The Thirteen,2,7,Qarth,Pyat Pree,Warlocks of Qarth,Knife,99
Member of the Thirteen,The Thirteen,2,7,Qarth,Pyat Pree,Warlocks of Qarth,Knife,100
Member of the Thirteen,The Thirteen,2,7,Qarth,Pyat Pree,Warlocks of Qarth,Knife,101
Member of the Thirteen,The Thirteen,2,7,Qarth,Pyat Pree,Warlocks of Qarth,Knife,102
Member of the Thirteen,The Thirteen,2,7,Qarth,Pyat Pree,Warlocks of Qarth,Knife,103
Member of the Thirteen,The Thirteen,2,7,Qarth,Pyat Pree,Warlocks of Qarth,Knife,104
Member of the Thirteen,The Thirteen,2,7,Qarth,Pyat Pree,Warlocks of Qarth,Knife,105
Member of the Thirteen,The Thirteen,2,7,Qarth,Pyat Pree,Warlocks of Qarth,Knife,106
Billy,Smallfolk,2,7,Winterfell,Theon Greyjoy,House Bolton,Fire,107
Jack,Smallfolk,2,7,Winterfell,Theon Greyjoy,House Bolton,Fire,108
Matthos Seaworth,House Baratheon of Dragonstone,2,9,King's Landing,Bronn,House Lannister,Wildfire,109
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Bronn,House Lannister,Wildfire,110
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Bronn,House Lannister,Wildfire,111
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Bronn,House Lannister,Wildfire,112
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Bronn,House Lannister,Wildfire,113
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Bronn,House Lannister,Wildfire,114
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Bronn,House Lannister,Wildfire,115
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Bronn,House Lannister,Wildfire,116
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Bronn,House Lannister,Wildfire,117
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Bronn,House Lannister,Wildfire,118
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Bronn,House Lannister,Wildfire,119
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Accident,Unknown,Blunt object,120
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Bronn,House Lannister,Wildfire,121
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Bronn,House Lannister,Wildfire,122
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Flaming arrow,123
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Flaming arrow,124
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Flaming arrow,125
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Flaming arrow,126
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Flaming arrow,127
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Flaming arrow,128
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Flaming arrow,129
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Flaming arrow,130
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Flaming arrow,131
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Flaming arrow,132
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Flaming arrow,133
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Flaming arrow,134
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Flaming arrow,135
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Flaming arrow,136
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Flaming arrow,137
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Flaming arrow,138
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Flaming arrow,139
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Flaming arrow,140
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Flaming arrow,141
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Flaming arrow,142
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Boulder,143
Baratheon of King's Landing soldier,House Baratheon of King's Landing,2,9,King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Arrow,144
Baratheon of King's Landing soldier,House Baratheon of King's Landing,2,9,King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Arrow,145
Baratheon of King's Landing soldier,House Baratheon of King's Landing,2,9,King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Axe,146
Baratheon of King's Landing soldier,House Baratheon of King's Landing,2,9,King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Axe,147
Baratheon of King's Landing soldier,House Baratheon of King's Landing,2,9,King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Axe,148
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,"Sandor ""the Hound"" Clegane",House Lannister,Sword,149
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Sword,150
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,"Sandor ""the Hound"" Clegane",House Lannister,Sword,151
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Sword,152
Baratheon of King's Landing soldier,House Baratheon of King's Landing,2,9,King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Axe,153
Baratheon of King's Landing soldier,House Baratheon of King's Landing,2,9,King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Hands,154
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Bronn,House Lannister,Arrow,155
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Bronn,House Lannister,Knife,156
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Fire,157
Baratheon of King's Landing soldier,House Baratheon of King's Landing,2,9,King's Landing,Stannis Baratheon,House Baratheon of Dragonstone,Sword,158
Baratheon of King's Landing soldier,House Baratheon of King's Landing,2,9,King's Landing,Stannis Baratheon,House Baratheon of Dragonstone,Sword,159
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Boulder,160
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Boulder,161
Baratheon of King's Landing soldier,House Baratheon of King's Landing,2,9,King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Arrow,162
Baratheon of King's Landing soldier,House Baratheon of King's Landing,2,9,King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Arrow,163
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Tyrion Lannister,House Lannister,Axe,164
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Sword,165
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Unknown,166
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Sword,167
Baratheon of King's Landing soldier,House Baratheon of King's Landing,2,9,King's Landing,Stannis Baratheon,House Baratheon of Dragonstone,Sword,168
Baratheon of King's Landing soldier,House Baratheon of King's Landing,2,9,King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Bludgeon,169
Baratheon of King's Landing soldier,House Baratheon of King's Landing,2,9,King's Landing,Stannis Baratheon,House Baratheon of Dragonstone,Sword,170
Mandon Moore,House Moore,2,9,King's Landing,Podrick Payne,House Lannister,Spear,171
Baratheon of King's Landing soldier,House Baratheon of King's Landing,2,9,King's Landing,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Sword,172
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Unknown,173
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Loras Tyrell,House Tyrell,Sword,174
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Loras Tyrell,House Tyrell,Sword,175
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Loras Tyrell,House Tyrell,Sword,176
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Lannister soldier,House Lannister,Sword,177
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Loras Tyrell,House Tyrell,Sword,178
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Arrow,179
Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,2,9,King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Arrow,180
Stark soldier,House Stark,2,10,Unknown,Brienne of Tarth,House Tarth,Sword,181
Stark soldier,House Stark,2,10,Unknown,Brienne of Tarth,House Tarth,Sword,182
Stark soldier,House Stark,2,10,Unknown,Brienne of Tarth,House Tarth,Sword,183
Maester Luwin,House Stark,2,10,Winterfell,Osha,House Stark,Knife,184
Pyat Pree,Warlocks of Qarth,2,10,Qarth,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),185
Qhorin Halfhand,Night's Watch,2,10,Beyond the Wall,Jon Snow,House Stark,Sword,186
Xaro Xhoan Daxos,The Thirteen,2,10,Qarth,Daenerys Targaryen,House Targaryen,Sealed into vault,187
Doreah,House Targaryen,2,10,Qarth,Daenerys Targaryen,House Targaryen,Sealed into vault,188
Manticore,None,3,1,Astapor,Barristan Selmy,House Targaryen,Knife,189
Hoster Tully,House Tully,3,2,Riverrun,None,None,Illness,190
Bolton soldier,House Bolton,3,3,Dreadfort,Ramsay Bolton,House Bolton,Arrow,191
Bolton soldier,House Bolton,3,3,Dreadfort,Ramsay Bolton,House Bolton,Arrow,192
Bolton soldier,House Bolton,3,3,Dreadfort,Ramsay Bolton,House Bolton,Arrow,193
Bolton soldier,House Bolton,3,3,Dreadfort,Ramsay Bolton,House Bolton,Arrow,194
Bannen,Night's Watch,3,4,Beyond the Wall,None,None,Broken foot,195
Craster,Night's Watch,3,4,Beyond the Wall,Karl Tanner,Night's Watch,Knife,196
Jeor Mormont,Night's Watch,3,4,Beyond the Wall,Rast,Night's Watch,Knife,197
Beric Dondarrion,Brotherhood Without Banners,3,4,Hollow Hill,"Sandor ""the Hound"" Clegane",House Clegane,Sword,198
Astapor slaver,Good Masters,3,4,Astapor,Unsullied,House Targaryen,Spear,199
Astapor slaver,Good Masters,3,4,Astapor,Unsullied,House Targaryen,Spear,200
Kraznys mo Nakloz,Good Masters,3,4,Astapor,Daenerys Targaryen,House Targaryen,Dragonfire (Dragon),201
Astapor soldier,Good Masters,3,4,Astapor,Unsullied,House Targaryen,Spear,202
Astapor soldier,Good Masters,3,4,Astapor,Unsullied,House Targaryen,Spear,203
Astapor soldier,Good Masters,3,4,Astapor,Unsullied,House Targaryen,Spear,204
Astapor slaver,Good Masters,3,4,Astapor,Unsullied,House Targaryen,Spear,205
Stark soldier,House Stark,3,5,Riverrun,Karstark soldier,House Karstark,Sword,206
Willem Lannister,House Lannister,3,5,Riverrun,Karstark soldier,House Karstark,Unknown,207
Martyn Lannister,House Lannister,3,5,Riverrun,Rickard Karstark,House Stark,Knife,208
Rickard Karstark,House Stark,3,5,Riverrun,Robb Stark,House Stark,Sword,209
Wildling,Free Folk,3,6,The Wall,None,None,Falling,210
Wildling,Free Folk,3,6,The Wall,None,None,Falling,211
Wildling,Free Folk,3,6,The Wall,None,None,Falling,212
Wildling,Free Folk,3,6,The Wall,None,None,Falling,213
Wildling,Free Folk,3,6,The Wall,None,None,Falling,214
Wildling,Free Folk,3,6,The Wall,None,None,Falling,215
Ros,House Baelish,3,6,King's Landing,Joffrey Baratheon,House Lannister,Arrow,216
Leech,None,3,8,Dragonstone,Stannis Baratheon,House Baratheon of Dragonstone,Fire,217
Leech,None,3,8,Dragonstone,Stannis Baratheon,House Baratheon of Dragonstone,Fire,218
Leech,None,3,8,Dragonstone,Stannis Baratheon,House Baratheon of Dragonstone,Fire,219
Mero,Second Sons,3,8,Yunkai,Daario Naharis,House Targaryen,Unknown,220
Prendahl na Ghezn,Second Sons,3,8,Yunkai,Daario Naharis,House Targaryen,Unknown,221
White Walker,None,3,8,Beyond the Wall,Sam Tarly,Night's Watch,Dragonglass,222
Horse breeder,Night's Watch,3,9,The Gift,Ygritte,Free Folk,Arrow,223
Wildling,Free Folk,3,9,The Gift,Jon Snow,House Stark,Sword,224
Wildling,Free Folk,3,9,The Gift,Summer,House Stark,Teeth,225
Wildling,Free Folk,3,9,The Gift,Shaggydog,House Stark,Teeth,226
Orell,Free Folk,3,9,The Gift,Jon Snow,House Stark,Sword,227
Yunkai soldier,Wise Masters,3,9,Yunkai,Jorah Mormont,House Targaryen,Sword,228
Yunkai soldier,Wise Masters,3,9,Yunkai,Daario Naharis,House Targaryen,Arakh,229
Yunkai soldier,Wise Masters,3,9,Yunkai,Grey Worm,House Targaryen,Spear,230
Yunkai soldier,Wise Masters,3,9,Yunkai,Daario Naharis,House Targaryen,Arakh,231
Yunkai soldier,Wise Masters,3,9,Yunkai,Jorah Mormont,House Targaryen,Sword,232
Yunkai soldier,Wise Masters,3,9,Yunkai,Daario Naharis,House Targaryen,Arakh,233
Yunkai soldier,Wise Masters,3,9,Yunkai,Daario Naharis,House Targaryen,Arakh,234
Yunkai soldier,Wise Masters,3,9,Yunkai,Daario Naharis,House Targaryen,Arakh,235
Yunkai soldier,Wise Masters,3,9,Yunkai,Grey Worm,House Targaryen,Spear,236
Yunkai soldier,Wise Masters,3,9,Yunkai,Daario Naharis,House Targaryen,Knife,237
Yunkai soldier,Wise Masters,3,9,Yunkai,Daario Naharis,House Targaryen,Arakh,238
Unborn Stark child,House Stark,3,9,The Twins,Lothar Frey,House Frey,Knife,239
Talisa Stark,House Stark,3,9,The Twins,Lothar Frey,House Frey,Knife,240
Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Arrow,241
Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,242
Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Arrow,243
Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Arrow,244
Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,245
Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Arrow,246
Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,247
Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,248
Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,249
Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,250
Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,251
Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,252
Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,253
Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,254
Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,255
Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,256
Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,257
Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,258
Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,259
Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,260
Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Sword,261
Grey Wind,House Stark,3,9,The Twins,Frey soldier,House Frey,Arrow,262
Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,263
Stark soldier,House Stark,3,9,The Twins,Frey soldier,House Frey,Knife,264
Robb Stark,House Stark,3,9,The Twins,Roose Bolton,House Bolton,Knife,265
Joyeuse Frey,House Frey,3,9,The Twins,Catelyn Stark,House Stark,Knife,266
Catelyn Stark,House Stark,3,9,The Twins,Walder Rivers,House Frey,Knife,267
Stark soldier,House Stark,3,10,The Twins,Frey soldier,House Frey,Sword,268
Stark soldier,House Stark,3,10,The Twins,Frey soldier,House Frey,Hanging,269
Stark soldier,House Stark,3,10,The Twins,Frey soldier,House Frey,Sword,270
Frey soldier,House Frey,3,10,Riverlands,Arya Stark,House Stark,Knife,271
Frey soldier,House Frey,3,10,Riverlands,"Sandor ""the Hound"" Clegane",House Clegane,Sword,272
Frey soldier,House Frey,3,10,Riverlands,"Sandor ""the Hound"" Clegane",House Clegane,Sword,273
Frey soldier,House Frey,3,10,Riverlands,"Sandor ""the Hound"" Clegane",House Clegane,Sword,274
Baratheon of King's Landing soldier,House Baratheon of King's Landing,4,1,Riverlands,"Sandor ""the Hound"" Clegane",House Clegane,Sword,275
