Name,Year,Variable,Value,Geography Type,Date,Location
Chelan County,2010,Graduate/Professional Degree,0.069,County,12/31/2010 12:00:00 AM,POINT (-120.619041 47.860974)
Franklin County,2013,Percent Associate's Degree or Higher,0.236,County,12/31/2013 12:00:00 AM,POINT (-118.906944 46.53458)
Pierce County,2015,Graduate/Professional Degree,0.085,County,12/31/2015 12:00:00 AM,POINT (-122.153242 47.051415)
Kitsap County,2011,Percent Associate's Degree,0.113,County,12/31/2011 12:00:00 AM,POINT (-122.649636 47.639687)
Chelan County,2013,Percent Bachelor's Degree or Higher,0.224,County,12/31/2013 12:00:00 AM,POINT (-120.619041 47.860974)
Snohomish County,2014,Percent Bachelor's Degree or Higher,0.291,County,12/31/2014 12:00:00 AM,POINT (-121.766412 48.054913)
Kitsap County,2013,Percent Associate's Degree or Higher,0.412,County,12/31/2013 12:00:00 AM,POINT (-122.649636 47.639687)
Kitsap County,2015,Percent Associate's Degree,0.115,County,12/31/2015 12:00:00 AM,POINT (-122.649636 47.639687)
Clark County,2018,Percent Bachelor's Degree or Higher,0.312,County,12/31/2018 12:00:00 AM,POINT (-122.485903 45.771674)
Grays Harbor County,2016,Percent Bachelor's Degree or Higher,0.166,County,12/31/2016 12:00:00 AM,POINT (-123.826655 47.113999)
Skagit County,2017,Percent High School Graduate or Higher,0.899,County,12/31/2017 12:00:00 AM,POINT (-121.81577 48.493292)
Grays Harbor County,2013,Graduate/Professional Degree,0.041,County,12/31/2013 12:00:00 AM,POINT (-123.826655 47.113999)
King County,2018,Graduate/Professional Degree,0.215,County,12/31/2018 12:00:00 AM,POINT (-121.833996 47.490599)
Kitsap County,2012,Percent High School Graduate or Higher,0.938,County,12/31/2012 12:00:00 AM,POINT (-122.649636 47.639687)
King County,2017,Graduate/Professional Degree,0.207,County,12/31/2017 12:00:00 AM,POINT (-121.833996 47.490599)
Skagit County,2012,Percent Associate's Degree or Higher,0.34,County,12/31/2012 12:00:00 AM,POINT (-121.81577 48.493292)
Clallam County,2010,Percent High School Graduate or Higher,0.915,County,12/31/2010 12:00:00 AM,POINT (-123.88986 48.110903)
Thurston County,2014,Graduate/Professional Degree,0.125,County,12/31/2014 12:00:00 AM,POINT (-122.830152 46.935822)
Thurston County,2014,Percent Associate's Degree,0.106,County,12/31/2014 12:00:00 AM,POINT (-122.830152 46.935822)
Snohomish County,2010,Percent Associate's Degree,0.11,County,12/31/2010 12:00:00 AM,POINT (-121.766412 48.054913)
Skagit County,2016,Graduate/Professional Degree,0.087,County,12/31/2016 12:00:00 AM,POINT (-121.81577 48.493292)
Whatcom County,2016,Percent High School Graduate or Higher,0.913,County,12/31/2016 12:00:00 AM,POINT (-121.836432 48.842653)
Spokane County,2011,Percent High School Graduate or Higher,0.931,County,12/31/2011 12:00:00 AM,POINT (-117.403371 47.620375)
Franklin County,2016,Percent Associate's Degree,0.089,County,12/31/2016 12:00:00 AM,POINT (-118.906944 46.53458)
Whatcom County,2019,Graduate/Professional Degree,0.132,County,12/31/2019 12:00:00 AM,POINT (-121.836432 48.842653)
Whatcom County,2018,Percent Bachelor's Degree or Higher,0.339,County,12/31/2018 12:00:00 AM,POINT (-121.836432 48.842653)
Yakima County,2015,Percent Associate's Degree,0.086,County,12/31/2015 12:00:00 AM,POINT (-120.740145 46.456558)
Grant County,2010,Percent Associate's Degree or Higher,0.236,County,12/31/2010 12:00:00 AM,POINT (-119.467788 47.213633)
Skagit County,2018,Percent High School Graduate or Higher,0.908,County,12/31/2018 12:00:00 AM,POINT (-121.81577 48.493292)
Franklin County,2019,Percent Bachelor's Degree or Higher,0.17,County,12/31/2019 12:00:00 AM,POINT (-118.906944 46.53458)
Franklin County,2015,Percent Associate's Degree or Higher,0.276,County,12/31/2015 12:00:00 AM,POINT (-118.906944 46.53458)
Whatcom County,2016,Percent Associate's Degree or Higher,0.427,County,12/31/2016 12:00:00 AM,POINT (-121.836432 48.842653)
Franklin County,2014,Percent Associate's Degree,0.086,County,12/31/2014 12:00:00 AM,POINT (-118.906944 46.53458)
Snohomish County,2016,Percent High School Graduate or Higher,0.922,County,12/31/2016 12:00:00 AM,POINT (-121.766412 48.054913)
Yakima County,2011,Graduate/Professional Degree,0.064,County,12/31/2011 12:00:00 AM,POINT (-120.740145 46.456558)
Clallam County,2016,Percent Associate's Degree or Higher,0.339,County,12/31/2016 12:00:00 AM,POINT (-123.88986 48.110903)
Grays Harbor County,2018,Percent High School Graduate or Higher,0.877,County,12/31/2018 12:00:00 AM,POINT (-123.826655 47.113999)
Chelan County,2011,Percent Associate's Degree or Higher,0.332,County,12/31/2011 12:00:00 AM,POINT (-120.619041 47.860974)
Clark County,2012,Percent High School Graduate or Higher,0.922,County,12/31/2012 12:00:00 AM,POINT (-122.485903 45.771674)
Chelan County,2015,Percent Associate's Degree,0.072,County,12/31/2015 12:00:00 AM,POINT (-120.619041 47.860974)
Kitsap County,2014,Percent Associate's Degree or Higher,0.427,County,12/31/2014 12:00:00 AM,POINT (-122.649636 47.639687)
Grant County,2012,Graduate/Professional Degree,0.037,County,12/31/2012 12:00:00 AM,POINT (-119.467788 47.213633)
Mason County,2019,Percent Associate's Degree or Higher,0.32,County,12/31/2019 12:00:00 AM,POINT (-123.17385 47.354126)
Kitsap County,2010,Percent High School Graduate or Higher,0.931,County,12/31/2010 12:00:00 AM,POINT (-122.649636 47.639687)
Skagit County,2019,Percent High School Graduate or Higher,0.901,County,12/31/2019 12:00:00 AM,POINT (-121.81577 48.493292)
Thurston County,2018,Graduate/Professional Degree,0.151,County,12/31/2018 12:00:00 AM,POINT (-122.830152 46.935822)
Skagit County,2011,Percent Associate's Degree or Higher,0.35,County,12/31/2011 12:00:00 AM,POINT (-121.81577 48.493292)
Cowlitz County,2015,Graduate/Professional Degree,0.076,County,12/31/2015 12:00:00 AM,POINT (-122.658682 46.185923)
Grant County,2010,Percent Associate's Degree,0.089,County,12/31/2010 12:00:00 AM,POINT (-119.467788 47.213633)
Franklin County,2018,Percent Associate's Degree or Higher,0.297,County,12/31/2018 12:00:00 AM,POINT (-118.906944 46.53458)
Whatcom County,2013,Percent Associate's Degree or Higher,0.42,County,12/31/2013 12:00:00 AM,POINT (-121.836432 48.842653)
Pierce County,2013,Percent Associate's Degree,0.105,County,12/31/2013 12:00:00 AM,POINT (-122.153242 47.051415)
Spokane County,2013,Graduate/Professional Degree,0.094,County,12/31/2013 12:00:00 AM,POINT (-117.403371 47.620375)
Benton County,2014,Percent Associate's Degree,0.121,County,12/31/2014 12:00:00 AM,POINT (-119.516666 46.22812)
Chelan County,2017,Graduate/Professional Degree,0.099,County,12/31/2017 12:00:00 AM,POINT (-120.619041 47.860974)
King County,2015,Percent Associate's Degree,0.081,County,12/31/2015 12:00:00 AM,POINT (-121.833996 47.490599)
King County,2010,Graduate/Professional Degree,0.166,County,12/31/2010 12:00:00 AM,POINT (-121.833996 47.490599)
Grant County,2010,Graduate/Professional Degree,0.052,County,12/31/2010 12:00:00 AM,POINT (-119.467788 47.213633)
Clallam County,2018,Percent Bachelor's Degree or Higher,0.297,County,12/31/2018 12:00:00 AM,POINT (-123.88986 48.110903)
Cowlitz County,2013,Graduate/Professional Degree,0.057,County,12/31/2013 12:00:00 AM,POINT (-122.658682 46.185923)
Whatcom County,2014,Graduate/Professional Degree,0.11,County,12/31/2014 12:00:00 AM,POINT (-121.836432 48.842653)
Skagit County,2010,Percent Associate's Degree,0.132,County,12/31/2010 12:00:00 AM,POINT (-121.81577 48.493292)
Benton County,2019,Percent Associate's Degree,0.113,County,12/31/2019 12:00:00 AM,POINT (-119.516666 46.22812)
Clark County,2010,Percent High School Graduate or Higher,0.911,County,12/31/2010 12:00:00 AM,POINT (-122.485903 45.771674)
Clallam County,2017,Percent High School Graduate or Higher,0.922,County,12/31/2017 12:00:00 AM,POINT (-123.88986 48.110903)
Grant County,2012,Percent Associate's Degree,0.108,County,12/31/2012 12:00:00 AM,POINT (-119.467788 47.213633)
Yakima County,2018,Percent Bachelor's Degree or Higher,0.168,County,12/31/2018 12:00:00 AM,POINT (-120.740145 46.456558)
Snohomish County,2019,Graduate/Professional Degree,0.111,County,12/31/2019 12:00:00 AM,POINT (-121.766412 48.054913)
Skagit County,2014,Percent Associate's Degree,0.098,County,12/31/2014 12:00:00 AM,POINT (-121.81577 48.493292)
Grant County,2016,Percent Associate's Degree,0.067,County,12/31/2016 12:00:00 AM,POINT (-119.467788 47.213633)
Grays Harbor County,2011,Percent High School Graduate or Higher,0.853,County,12/31/2011 12:00:00 AM,POINT (-123.826655 47.113999)
Grant County,2017,Percent Bachelor's Degree or Higher,0.167,County,12/31/2017 12:00:00 AM,POINT (-119.467788 47.213633)
Snohomish County,2017,Percent Bachelor's Degree or Higher,0.319,County,12/31/2017 12:00:00 AM,POINT (-121.766412 48.054913)
Kitsap County,2011,Percent Associate's Degree or Higher,0.405,County,12/31/2011 12:00:00 AM,POINT (-122.649636 47.639687)
King County,2015,Percent Associate's Degree or Higher,0.582,County,12/31/2015 12:00:00 AM,POINT (-121.833996 47.490599)
Snohomish County,2018,Percent High School Graduate or Higher,0.922,County,12/31/2018 12:00:00 AM,POINT (-121.766412 48.054913)
Grant County,2019,Percent Bachelor's Degree or Higher,0.18,County,12/31/2019 12:00:00 AM,POINT (-119.467788 47.213633)
Yakima County,2019,Percent High School Graduate or Higher,0.746,County,12/31/2019 12:00:00 AM,POINT (-120.740145 46.456558)
Lewis County,2011,Graduate/Professional Degree,0.063,County,12/31/2011 12:00:00 AM,POINT (-122.377444 46.580071)
Grant County,2014,Percent Associate's Degree,0.095,County,12/31/2014 12:00:00 AM,POINT (-119.467788 47.213633)
Grant County,2016,Percent Associate's Degree or Higher,0.248,County,12/31/2016 12:00:00 AM,POINT (-119.467788 47.213633)
King County,2014,Graduate/Professional Degree,0.188,County,12/31/2014 12:00:00 AM,POINT (-121.833996 47.490599)
King County,2012,Percent Associate's Degree,0.084,County,12/31/2012 12:00:00 AM,POINT (-121.833996 47.490599)
Chelan County,2017,Percent Associate's Degree or Higher,0.353,County,12/31/2017 12:00:00 AM,POINT (-120.619041 47.860974)
Spokane County,2016,Percent High School Graduate or Higher,0.943,County,12/31/2016 12:00:00 AM,POINT (-117.403371 47.620375)
Spokane County,2015,Percent Associate's Degree,0.116,County,12/31/2015 12:00:00 AM,POINT (-117.403371 47.620375)
Washington,2011,Graduate/Professional Degree,0.117,State,12/31/2011 12:00:00 AM,POINT (47.4073238 -120.5757999)
King County,2010,Percent Associate's Degree or Higher,0.532,County,12/31/2010 12:00:00 AM,POINT (-121.833996 47.490599)
Snohomish County,2014,Percent Associate's Degree or Higher,0.397,County,12/31/2014 12:00:00 AM,POINT (-121.766412 48.054913)
Washington,2016,Percent Bachelor's Degree or Higher,0.351,State,12/31/2016 12:00:00 AM,POINT (47.4073238 -120.5757999)
Washington,2017,Percent High School Graduate or Higher,0.913,State,12/31/2017 12:00:00 AM,POINT (47.4073238 -120.5757999)
Franklin County,2012,Percent Associate's Degree or Higher,0.239,County,12/31/2012 12:00:00 AM,POINT (-118.906944 46.53458)
Grays Harbor County,2012,Graduate/Professional Degree,0.042,County,12/31/2012 12:00:00 AM,POINT (-123.826655 47.113999)
Franklin County,2010,Percent Associate's Degree,0.075,County,12/31/2010 12:00:00 AM,POINT (-118.906944 46.53458)
Franklin County,2015,Graduate/Professional Degree,0.069,County,12/31/2015 12:00:00 AM,POINT (-118.906944 46.53458)
Clallam County,2013,Percent Associate's Degree or Higher,0.373,County,12/31/2013 12:00:00 AM,POINT (-123.88986 48.110903)
Lewis County,2010,Percent High School Graduate or Higher,0.853,County,12/31/2010 12:00:00 AM,POINT (-122.377444 46.580071)
Chelan County,2018,Percent Associate's Degree or Higher,0.374,County,12/31/2018 12:00:00 AM,POINT (-120.619041 47.860974)
Clark County,2011,Graduate/Professional Degree,0.096,County,12/31/2011 12:00:00 AM,POINT (-122.485903 45.771674)
Lewis County,2017,Percent High School Graduate or Higher,0.876,County,12/31/2017 12:00:00 AM,POINT (-122.377444 46.580071)
Lewis County,2013,Percent Associate's Degree,0.129,County,12/31/2013 12:00:00 AM,POINT (-122.377444 46.580071)
Lewis County,2019,Percent High School Graduate or Higher,0.861,County,12/31/2019 12:00:00 AM,POINT (-122.377444 46.580071)
Skagit County,2013,Percent Associate's Degree or Higher,0.339,County,12/31/2013 12:00:00 AM,POINT (-121.81577 48.493292)
Cowlitz County,2015,Percent Associate's Degree,0.112,County,12/31/2015 12:00:00 AM,POINT (-122.658682 46.185923)
Chelan County,2014,Graduate/Professional Degree,0.111,County,12/31/2014 12:00:00 AM,POINT (-120.619041 47.860974)
Yakima County,2011,Percent Associate's Degree,0.073,County,12/31/2011 12:00:00 AM,POINT (-120.740145 46.456558)
Whatcom County,2012,Percent Associate's Degree,0.11,County,12/31/2012 12:00:00 AM,POINT (-121.836432 48.842653)
Pierce County,2013,Graduate/Professional Degree,0.091,County,12/31/2013 12:00:00 AM,POINT (-122.153242 47.051415)
Pierce County,2015,Percent Associate's Degree,0.107,County,12/31/2015 12:00:00 AM,POINT (-122.153242 47.051415)
Snohomish County,2010,Graduate/Professional Degree,0.083,County,12/31/2010 12:00:00 AM,POINT (-121.766412 48.054913)
Washington,2013,Percent Associate's Degree,0.095,State,12/31/2013 12:00:00 AM,POINT (47.4073238 -120.5757999)
Washington,2010,Percent High School Graduate or Higher,0.898,State,12/31/2010 12:00:00 AM,POINT (47.4073238 -120.5757999)
Franklin County,2013,Graduate/Professional Degree,0.047,County,12/31/2013 12:00:00 AM,POINT (-118.906944 46.53458)
Grays Harbor County,2010,Graduate/Professional Degree,0.044,County,12/31/2010 12:00:00 AM,POINT (-123.826655 47.113999)
Snohomish County,2012,Percent Associate's Degree,0.101,County,12/31/2012 12:00:00 AM,POINT (-121.766412 48.054913)
Yakima County,2015,Percent Bachelor's Degree or Higher,0.157,County,12/31/2015 12:00:00 AM,POINT (-120.740145 46.456558)
Thurston County,2015,Percent Associate's Degree or Higher,0.434,County,12/31/2015 12:00:00 AM,POINT (-122.830152 46.935822)
Clark County,2016,Percent Associate's Degree,0.115,County,12/31/2016 12:00:00 AM,POINT (-122.485903 45.771674)
Chelan County,2012,Percent Associate's Degree,0.085,County,12/31/2012 12:00:00 AM,POINT (-120.619041 47.860974)
Island County,2019,Percent Associate's Degree,0.126,County,12/31/2019 12:00:00 AM,POINT (-122.670649 48.158554)
Spokane County,2019,Graduate/Professional Degree,0.115,County,12/31/2019 12:00:00 AM,POINT (-117.403371 47.620375)
Cowlitz County,2012,Percent Bachelor's Degree or Higher,0.16,County,12/31/2012 12:00:00 AM,POINT (-122.658682 46.185923)
Grays Harbor County,2017,Percent Bachelor's Degree or Higher,0.14,County,12/31/2017 12:00:00 AM,POINT (-123.826655 47.113999)
Kitsap County,2015,Percent Bachelor's Degree or Higher,0.305,County,12/31/2015 12:00:00 AM,POINT (-122.649636 47.639687)
Benton County,2014,Graduate/Professional Degree,0.106,County,12/31/2014 12:00:00 AM,POINT (-119.516666 46.22812)
Snohomish County,2014,Percent Associate's Degree,0.106,County,12/31/2014 12:00:00 AM,POINT (-121.766412 48.054913)
Spokane County,2017,Percent Bachelor's Degree or Higher,0.308,County,12/31/2017 12:00:00 AM,POINT (-117.403371 47.620375)
Pierce County,2012,Percent Bachelor's Degree or Higher,0.239,County,12/31/2012 12:00:00 AM,POINT (-122.153242 47.051415)
Chelan County,2018,Percent High School Graduate or Higher,0.836,County,12/31/2018 12:00:00 AM,POINT (-120.619041 47.860974)
Clark County,2013,Graduate/Professional Degree,0.094,County,12/31/2013 12:00:00 AM,POINT (-122.485903 45.771674)
Chelan County,2016,Graduate/Professional Degree,0.117,County,12/31/2016 12:00:00 AM,POINT (-120.619041 47.860974)
Grant County,2011,Percent Associate's Degree or Higher,0.269,County,12/31/2011 12:00:00 AM,POINT (-119.467788 47.213633)
Grant County,2011,Percent High School Graduate or Higher,0.76,County,12/31/2011 12:00:00 AM,POINT (-119.467788 47.213633)
Washington,2012,Percent High School Graduate or Higher,0.904,State,12/31/2012 12:00:00 AM,POINT (47.4073238 -120.5757999)
Kitsap County,2011,Graduate/Professional Degree,0.106,County,12/31/2011 12:00:00 AM,POINT (-122.649636 47.639687)
Island County,2016,Percent High School Graduate or Higher,0.951,County,12/31/2016 12:00:00 AM,POINT (-122.670649 48.158554)
King County,2016,Percent Associate's Degree or Higher,0.593,County,12/31/2016 12:00:00 AM,POINT (-121.833996 47.490599)
Grays Harbor County,2014,Percent Associate's Degree,0.122,County,12/31/2014 12:00:00 AM,POINT (-123.826655 47.113999)
Clark County,2017,Percent High School Graduate or Higher,0.929,County,12/31/2017 12:00:00 AM,POINT (-122.485903 45.771674)
Washington,2019,Percent High School Graduate or Higher,0.917,State,12/31/2019 12:00:00 AM,POINT (47.4073238 -120.5757999)
Chelan County,2011,Percent Associate's Degree,0.092,County,12/31/2011 12:00:00 AM,POINT (-120.619041 47.860974)
Island County,2014,Graduate/Professional Degree,0.105,County,12/31/2014 12:00:00 AM,POINT (-122.670649 48.158554)
Yakima County,2017,Percent Associate's Degree or Higher,0.258,County,12/31/2017 12:00:00 AM,POINT (-120.740145 46.456558)
Skagit County,2010,Percent Associate's Degree or Higher,0.354,County,12/31/2010 12:00:00 AM,POINT (-121.81577 48.493292)
Whatcom County,2014,Percent Associate's Degree or Higher,0.424,County,12/31/2014 12:00:00 AM,POINT (-121.836432 48.842653)
Benton County,2016,Percent Associate's Degree,0.106,County,12/31/2016 12:00:00 AM,POINT (-119.516666 46.22812)
Kitsap County,2017,Percent High School Graduate or Higher,0.937,County,12/31/2017 12:00:00 AM,POINT (-122.649636 47.639687)
Pierce County,2018,Percent Associate's Degree or Higher,0.404,County,12/31/2018 12:00:00 AM,POINT (-122.153242 47.051415)
Kitsap County,2019,Percent High School Graduate or Higher,0.962,County,12/31/2019 12:00:00 AM,POINT (-122.649636 47.639687)
Thurston County,2011,Percent Bachelor's Degree or Higher,0.366,County,12/31/2011 12:00:00 AM,POINT (-122.830152 46.935822)
Washington,2014,Graduate/Professional Degree,0.121,State,12/31/2014 12:00:00 AM,POINT (47.4073238 -120.5757999)
Lewis County,2018,Percent Bachelor's Degree or Higher,0.186,County,12/31/2018 12:00:00 AM,POINT (-122.377444 46.580071)
Kitsap County,2013,Percent Associate's Degree,0.103,County,12/31/2013 12:00:00 AM,POINT (-122.649636 47.639687)
Spokane County,2010,Graduate/Professional Degree,0.108,County,12/31/2010 12:00:00 AM,POINT (-117.403371 47.620375)
Yakima County,2017,Percent High School Graduate or Higher,0.73,County,12/31/2017 12:00:00 AM,POINT (-120.740145 46.456558)
King County,2013,Percent Associate's Degree or Higher,0.56,County,12/31/2013 12:00:00 AM,POINT (-121.833996 47.490599)
Pierce County,2018,Percent Associate's Degree,0.12,County,12/31/2018 12:00:00 AM,POINT (-122.153242 47.051415)
Clallam County,2019,Percent High School Graduate or Higher,0.917,County,12/31/2019 12:00:00 AM,POINT (-123.88986 48.110903)
Spokane County,2012,Graduate/Professional Degree,0.095,County,12/31/2012 12:00:00 AM,POINT (-117.403371 47.620375)
Skagit County,2013,Graduate/Professional Degree,0.098,County,12/31/2013 12:00:00 AM,POINT (-121.81577 48.493292)
Island County,2017,Percent Associate's Degree or Higher,0.419,County,12/31/2017 12:00:00 AM,POINT (-122.670649 48.158554)
Yakima County,2012,Percent Associate's Degree or Higher,0.225,County,12/31/2012 12:00:00 AM,POINT (-120.740145 46.456558)
Skagit County,2015,Graduate/Professional Degree,0.086,County,12/31/2015 12:00:00 AM,POINT (-121.81577 48.493292)
Skagit County,2011,Percent Associate's Degree,0.099,County,12/31/2011 12:00:00 AM,POINT (-121.81577 48.493292)
Mason County,2019,Percent High School Graduate or Higher,0.907,County,12/31/2019 12:00:00 AM,POINT (-123.17385 47.354126)
Washington,2014,Percent Associate's Degree,0.1,State,12/31/2014 12:00:00 AM,POINT (47.4073238 -120.5757999)
Clallam County,2011,Graduate/Professional Degree,0.122,County,12/31/2011 12:00:00 AM,POINT (-123.88986 48.110903)
Skagit County,2011,Graduate/Professional Degree,0.083,County,12/31/2011 12:00:00 AM,POINT (-121.81577 48.493292)
Franklin County,2018,Percent Associate's Degree,0.086,County,12/31/2018 12:00:00 AM,POINT (-118.906944 46.53458)
King County,2019,Percent Associate's Degree or Higher,0.614,County,12/31/2019 12:00:00 AM,POINT (-121.833996 47.490599)
Clallam County,2015,Percent Bachelor's Degree or Higher,0.259,County,12/31/2015 12:00:00 AM,POINT (-123.88986 48.110903)
Washington,2018,Percent Associate's Degree or Higher,0.469,State,12/31/2018 12:00:00 AM,POINT (47.4073238 -120.5757999)
King County,2011,Percent Associate's Degree,0.082,County,12/31/2011 12:00:00 AM,POINT (-121.833996 47.490599)
Benton County,2013,Percent Bachelor's Degree or Higher,0.294,County,12/31/2013 12:00:00 AM,POINT (-119.516666 46.22812)
Grays Harbor County,2015,Percent Associate's Degree,0.107,County,12/31/2015 12:00:00 AM,POINT (-123.826655 47.113999)
Benton County,2010,Graduate/Professional Degree,0.087,County,12/31/2010 12:00:00 AM,POINT (-119.516666 46.22812)
Grant County,2013,Graduate/Professional Degree,0.034,County,12/31/2013 12:00:00 AM,POINT (-119.467788 47.213633)
Chelan County,2012,Percent Associate's Degree or Higher,0.316,County,12/31/2012 12:00:00 AM,POINT (-120.619041 47.860974)
Grant County,2016,Percent Bachelor's Degree or Higher,0.181,County,12/31/2016 12:00:00 AM,POINT (-119.467788 47.213633)
Lewis County,2016,Percent Bachelor's Degree or Higher,0.167,County,12/31/2016 12:00:00 AM,POINT (-122.377444 46.580071)
Yakima County,2013,Percent Associate's Degree,0.071,County,12/31/2013 12:00:00 AM,POINT (-120.740145 46.456558)
Yakima County,2010,Percent High School Graduate or Higher,0.708,County,12/31/2010 12:00:00 AM,POINT (-120.740145 46.456558)
Lewis County,2012,Percent High School Graduate or Higher,0.864,County,12/31/2012 12:00:00 AM,POINT (-122.377444 46.580071)
Thurston County,2013,Percent Bachelor's Degree or Higher,0.32,County,12/31/2013 12:00:00 AM,POINT (-122.830152 46.935822)
Skagit County,2013,Percent Associate's Degree,0.102,County,12/31/2013 12:00:00 AM,POINT (-121.81577 48.493292)
Yakima County,2012,Graduate/Professional Degree,0.06,County,12/31/2012 12:00:00 AM,POINT (-120.740145 46.456558)
Skagit County,2015,Percent Associate's Degree,0.108,County,12/31/2015 12:00:00 AM,POINT (-121.81577 48.493292)
